Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Record_id
1,100,1,0,0.2,2,264.5,117,64.0,9.7,7.5,ed8b2f70-bfc9-4769-9fd3-bf6b3d0081c0
1,134,1,1,1.65,2,247.2,105,78.5,11.28,6.1,216576b4-3485-4602-a8c0-c2f61fe9cdbe
1,54,1,0,0.21,2,247.5,85,64.1,11.27,10.2,fe0bb8b7-e694-4614-9204-fb8221e5722d
1,52,1,0,0.0,4,155.0,110,38.0,6.67,7.0,e663d320-a111-450f-9bbe-5308ed6ca28a
0,130,1,0,0.0,2,242.5,101,50.0,5.14,9.3,6603e8de-d78f-43b7-be68-097d98be8808
1,92,1,0,0.0,3,154.0,122,55.0,16.49,5.6,6b131105-45b6-4924-9b5a-fdcbdbc5d491
0,87,0,0,0.0,0,134.2,80,37.0,8.25,10.7,4672c5cf-fd02-4641-b9b6-cd99ff185a47
0,105,1,1,2.92,3,274.7,99,93.2,9.68,10.8,b80913e4-b026-4833-bd40-6683c6cbf892
0,126,1,0,0.0,0,175.4,120,39.0,4.92,10.6,788aaae6-65d4-45a7-8ffb-5e9dcd1b0369
0,53,1,0,0.0,2,119.7,113,37.0,9.49,12.9,c0a1a885-d481-4b42-bd62-9ecacc1229a8
0,117,1,0,0.0,1,134.7,121,39.0,9.0,7.7,7944b3d7-bc77-4121-9b8d-124e5cfb2afa
0,36,1,0,0.0,2,177.9,129,50.0,11.23,10.8,5baf06be-6c24-4e43-9696-4342c47c8cd1
0,63,1,0,0.36,0,211.7,107,63.6,13.59,7.4,8bb60dbf-30cd-46e4-9138-430b77af65f6
0,90,1,0,0.22,0,145.6,103,44.2,9.86,10.5,1901ac90-939e-4aa7-a6ee-2a381930d475
0,72,1,1,4.46,1,186.7,108,105.6,16.75,16.5,cedd7f12-2bca-49c5-a6f0-3f2f9178bdac
0,80,1,1,2.51,0,196.4,115,72.1,7.52,9.3,bd20f469-bc6c-40a5-8c8b-bac60aa865b0
0,90,1,0,0.0,2,207.2,121,61.0,14.63,8.0,d7a89f3a-194f-4bca-bb37-44aa25236b41
0,131,1,1,1.4,1,177.1,100,61.0,9.7,5.2,0ef4b447-f3f2-487f-b6df-6eae44c1d571
0,112,1,0,0.0,3,214.8,112,55.0,10.49,9.4,34375bd1-f923-4473-a4cf-46bdb061f2c9
0,146,1,0,0.0,3,205.4,101,47.0,6.75,10.3,c9ea4138-bb9c-43dc-b7da-03b4026a6e28
0,64,1,1,2.03,1,291.1,150,89.3,11.34,7.5,834ba60b-3dac-439a-91cc-7ced2084a4c2
1,105,0,1,3.56,1,220.7,82,92.6,10.89,13.2,edc582d2-1a4c-41bb-aed8-199fbe0aefb9
1,108,0,1,3.67,3,130.1,90,73.7,8.35,13.6,b25db6f5-725a-434b-9385-9da12e445b22
0,127,1,0,0.27,2,218.6,93,52.7,7.5,9.2,1b669622-f198-464a-96ef-69ffb1662936
0,91,1,1,3.32,3,232.4,97,89.2,9.3,12.3,567e4c36-494d-4bcd-a455-4b1b1c4f6cb8
0,79,1,0,0.0,1,152.2,112,41.0,8.86,5.3,fb5aa8f5-aabe-4340-8889-e8c7ab466597
0,68,1,0,0.0,1,157.3,83,46.0,11.05,12.0,27edd417-4152-4273-8c2b-9ccc34bedebb
0,138,1,0,0.0,0,205.9,96,57.0,12.86,12.1,3141bce9-b9a2-439e-bb4b-1dd2d7545f32
0,145,1,1,2.89,2,216.0,94,84.9,11.26,10.7,c88c3f65-1f1c-4d82-b561-98d8a4e4245c
0,70,1,0,0.0,1,197.3,91,60.0,15.29,6.7,6f2aafcc-777e-452c-a039-14da0d95fbfb
0,111,1,0,0.0,0,176.4,62,48.0,10.05,11.2,83355390-665a-4f2b-a95b-6717c18c3bba
0,93,1,1,3.38,2,136.8,113,72.8,8.98,12.5,0fc0ccff-01c0-4e94-83fd-768266cbc396
1,109,1,1,3.32,1,166.9,85,81.2,11.06,12.3,1b330658-b878-4ad7-aed5-3ba4b5d07e27
0,67,1,0,0.0,2,171.7,80,39.0,5.52,11.9,d81f0a95-5bc9-45f4-b320-6dc598c6ea0d
0,90,1,1,3.4,2,156.7,51,81.0,11.83,12.6,a9166ca0-d12c-4607-addd-5039b52ed00c
0,49,1,1,2.16,3,214.4,78,78.6,11.76,8.0,218b6e23-e196-4a5a-a88c-6cc77f950492
0,78,1,0,0.0,0,193.1,85,48.0,8.61,10.2,51e9b055-a42a-4c50-8af8-041d4d53f560
0,89,1,1,3.19,1,174.4,108,78.9,9.84,11.8,9798b21d-e942-42d5-928d-b7f6fb90494b
0,115,1,0,0.26,0,210.6,120,51.6,7.66,11.0,4732b5b7-36b2-4815-875f-ba453e3aa35b
0,66,1,1,3.27,1,106.7,76,68.7,10.49,12.1,7a4113d7-7c33-42cf-9d33-c4c4989f6c2e
0,53,1,1,3.54,3,145.7,146,79.4,11.03,13.1,f08008dd-4a7c-43a3-bfe4-fb71479db131
0,73,1,0,0.0,0,214.2,90,54.0,9.84,5.9,0a0b0ed2-e37f-4a0d-b44f-52dbf2911099
1,78,1,0,0.4,4,103.5,115,32.0,5.9,12.0,ab533de6-1826-4737-b0e3-44148b771193
0,47,1,1,3.56,2,112.8,150,75.6,12.2,13.2,56ca9475-a740-43f8-8219-0276d6cf0698
0,112,1,1,2.7,2,113.7,117,60.0,7.88,10.0,4fe85457-515e-4f67-9a01-17eeef30cf81
0,170,1,0,0.0,2,184.1,106,49.0,10.25,9.8,e6a80035-600d-4f4e-951b-f527da084db9
0,16,1,0,0.0,0,205.6,69,50.0,8.48,10.9,e4fa4b9e-7ccd-483c-bf8b-5f6ca9a1e860
0,81,1,1,3.08,0,130.1,117,69.8,9.8,11.4,55d2f1af-1510-475e-b95f-b934b7be7fb8
0,108,1,0,0.33,3,193.3,126,50.3,7.74,9.4,984ce5a2-f2aa-495f-8821-0e553ec88f96
0,105,1,1,3.48,0,101.9,79,71.8,11.16,12.9,aa4f26bf-b484-4577-b86b-c65d9bbdad4d
0,33,1,0,0.0,2,251.9,81,60.0,9.73,8.4,1946b228-63ce-41ba-b1bc-2802170e11d8
0,98,0,0,0.0,1,158.4,71,53.0,15.33,2.1,b804d63a-6c38-4c76-b42e-04d3d03fedaa
0,99,1,0,0.0,1,62.9,81,31.0,11.55,8.5,2db2fb36-3a73-4d09-9e00-4af9af40f4bc
0,126,1,1,2.59,2,186.2,78,73.9,9.48,9.6,3f6c106a-4a71-4d5a-995a-33ae86bbb373
0,92,1,0,0.31,2,176.3,85,41.1,4.67,9.6,47e376bd-4ccf-471d-9846-f65766485cff
0,90,1,0,0.0,2,102.0,118,27.0,5.67,11.4,1c2ea110-25ad-4b8f-aca2-b7193debd2e2
1,115,1,0,0.0,3,226.4,101,63.0,13.84,12.3,bf059d9d-fc54-4b1b-b491-51bdff135c23
0,9,1,1,3.11,2,88.5,87,62.1,8.94,11.5,0410e14e-6648-4ced-a6a0-3b830c688dd7
0,183,1,0,0.28,1,190.0,100,56.8,12.33,9.5,5041e6a6-c35b-4b28-b8d1-55c2d9271f9f
0,105,1,0,0.17,3,212.0,113,57.7,11.33,8.9,3628398b-a82c-4d8d-882f-4debf5dab7ff
0,123,1,0,0.0,0,105.0,150,40.0,12.58,14.9,0a5e35b7-f308-4480-b84a-9237036a1af0
1,159,0,0,0.44,1,257.1,53,75.4,15.61,8.8,e6a96938-f651-49bc-b0a0-506ebeb1c8a6
1,64,0,0,0.18,2,236.2,77,60.8,10.93,13.2,f62a2f4d-d0e3-467c-ad9a-ffc8342f31a7
0,120,1,1,2.75,5,153.5,84,70.5,9.7,10.2,2201af44-e542-469f-982b-35bd7952e4bc
0,88,1,0,0.29,2,148.2,82,54.9,15.44,6.4,7b044696-96df-4432-a03a-da26932c2a8d
0,25,1,0,0.26,2,178.8,90,45.6,7.06,8.4,e836f1f1-0116-4c39-94ed-2b1f98030158
1,68,1,0,0.0,2,249.9,127,65.0,12.73,8.9,f9cc68e4-c65e-4d68-8f74-de0f1d533fd0
0,104,1,0,0.24,1,170.6,97,45.4,8.11,6.1,cb39056f-6f1c-46df-9e9a-de1dec8186b0
0,121,1,0,0.0,2,168.9,128,40.0,6.2,2.9,62bc5ccb-d471-4b1f-b8a6-41c5a875bddb
0,124,1,1,2.03,1,251.4,104,82.3,11.26,7.5,3597d279-f84e-48e3-9ef5-fe6158897ea0
0,115,1,0,0.0,2,184.1,98,60.0,16.35,7.5,2397025b-8fa3-42ba-8985-9f6713860f44
0,101,1,0,0.0,4,153.8,89,47.0,11.7,11.6,4bd3c569-784e-45fc-ac8e-88be35ad3f52
0,116,1,1,3.08,5,193.4,112,84.8,12.03,11.4,a44b37cb-88a0-4f72-afde-a74906fe6580
0,22,1,1,1.13,1,199.1,100,64.3,11.09,4.2,325002e6-6f5d-44e8-9cfa-1a71242bd86c
0,86,1,0,0.0,1,125.5,139,45.0,13.49,8.9,d99b1b9c-d7d0-4b53-9c42-f7dd6531bebc
0,13,1,0,0.0,1,146.4,74,38.0,7.43,11.3,b42e0e54-66b4-4bab-9ce5-8e01d6c746e5
0,96,1,0,0.0,3,150.0,122,45.0,10.93,9.8,be5c8b32-f217-4a4f-b10a-2251c2f45a9b
0,137,1,1,2.11,0,175.3,96,72.1,12.07,7.8,12d8deab-4e29-4608-9825-bfa26ca438ec
0,78,1,0,0.0,3,252.9,93,59.0,8.92,9.5,c5b58ef1-2fa5-4bdf-826c-435ed3f77161
0,99,1,0,0.33,2,222.4,102,57.3,9.29,12.0,0f902df6-aafc-4d26-8fe8-7830beb43982
0,44,1,0,0.0,1,240.3,146,55.0,8.23,10.6,fd31f3cd-735f-4a7f-8a13-7390489d2209
0,37,0,1,2.48,1,149.7,122,68.8,10.56,9.2,139b76cd-9ace-40c4-90f0-d371355079a8
0,95,1,0,0.0,0,198.4,113,54.0,11.8,10.1,a47a3974-8876-43a3-a71e-55946b116a09
0,41,1,0,0.0,1,143.6,117,38.0,7.62,8.6,9ed4624f-3595-444a-8e76-5d827353c57c
0,80,1,0,0.0,0,194.8,116,51.0,10.5,12.8,828be376-8773-4439-bb22-72fa783b8dbf
0,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2,94f335b4-fad7-4ed0-92c5-9ffdd51ef733
0,30,1,0,0.0,1,169.9,144,49.0,11.26,11.4,e96fbc41-dea8-41b1-aba2-99785f27ed09
0,136,1,1,2.38,2,174.6,76,68.8,8.83,8.8,c744c601-53ed-4c58-b920-7ff49decc688
0,127,1,1,2.48,3,2.6,113,47.8,12.7,9.2,39820991-626a-4039-bdc8-bce96431487a
0,130,1,0,0.0,3,203.9,63,51.0,9.59,12.1,86dfae12-7078-47e2-9675-a67511680fab
1,115,1,0,0.0,1,245.0,97,63.0,12.54,13.7,4a297a39-d2f7-46bc-80a1-0850b13791f0
0,123,1,1,1.78,3,212.3,77,75.8,12.58,6.6,3ebdb5ce-572c-4b98-a0e0-bcfcbd7b9cf3
0,134,1,0,0.0,1,183.8,111,42.0,6.18,6.1,3953ef02-b65c-4c33-9efa-97e5790747b8
0,68,1,0,0.0,2,207.6,68,57.0,12.58,10.9,4a3b6be8-f328-4fb2-ac10-e8f9524eb3f1
0,62,1,0,0.0,0,172.4,132,49.0,11.53,11.0,814539b2-4bd3-4f0e-bca0-cf1435b7fd73
0,67,1,0,0.14,0,115.5,70,43.4,12.61,7.5,890e9099-5712-4aee-a4d2-423b9758a64a
0,81,1,0,0.0,1,115.3,99,39.0,11.24,18.0,7faad98e-6389-457b-b5a8-715ea00e3fac
0,78,1,0,0.0,2,155.0,106,42.0,8.77,11.8,21105d98-352d-46c9-a4c0-9f6369f0f146
0,104,1,0,0.0,0,97.2,88,30.0,7.78,12.4,3e826f7d-e620-4273-bc36-aab5b3a7eb2e
1,36,0,1,5.4,0,196.8,89,110.0,12.75,20.0,4c563430-f2ab-4b7d-8bff-1d9566909679
0,101,1,1,1.97,1,262.2,101,77.7,7.85,7.3,88944e0d-f12a-497d-966a-a8270b525b67
0,174,1,1,3.35,1,221.8,143,89.5,10.53,12.4,697a40fa-b98f-48f4-9d6e-e00a8d9b75df
0,74,1,1,3.7,0,234.4,113,100.0,13.3,13.7,e4e17454-6e5d-4a90-8ee6-d5dff6e899dc
0,109,1,0,0.27,0,162.6,138,43.7,7.7,11.5,148e0a15-f886-4991-84b0-748dae1b953c
0,92,1,0,0.29,1,212.4,105,58.9,11.23,9.0,f072c387-3b6d-4f92-a638-57a170080996
0,157,1,0,0.0,3,276.2,95,62.0,8.29,2.2,e3b171f0-19a2-4402-8f5e-d0fc788e2673
0,184,1,0,0.21,2,151.7,93,43.1,8.93,13.1,8c3ff74f-e002-47eb-9468-45e2b87a0da7
0,155,0,0,0.0,0,163.1,94,53.0,14.59,11.2,8f0e1042-9397-4bab-8a73-11333fa6f059
0,84,1,0,0.0,0,191.0,88,60.0,15.94,6.5,b9b764a0-aca5-4c6b-93fb-be5f8b6ec3da
0,119,1,0,0.0,1,133.4,102,41.0,10.23,11.1,93f15d00-e12f-462a-851f-aa4922c95acb
0,101,1,0,0.0,1,118.6,89,38.0,9.98,11.5,81c18e04-6711-4879-b5d7-2d660fd0d845
0,83,1,0,0.24,0,259.7,106,60.4,7.64,10.2,76e561c6-d21b-48e7-b286-4ef7f742b0c6
0,58,1,0,0.0,4,174.4,112,53.0,13.29,0.0,f340283e-dcea-420c-8311-5808f823cf3d
0,80,1,0,0.0,3,198.1,160,47.0,7.84,9.3,26eb4bab-5551-47ac-9dda-2da340e0f920
0,171,1,0,0.0,1,231.2,135,56.0,9.44,12.3,35f37fb3-0821-448f-82bf-71b15e880d7f
0,101,1,1,2.57,2,219.7,137,79.7,9.34,9.5,f741c9de-ae48-4baa-9e37-40aff09fb7cc
0,110,1,0,0.24,1,18.9,92,28.4,12.92,14.8,04504416-0c57-4dbe-9a77-be25c29af8be
0,155,1,0,0.0,1,190.3,123,58.0,15.07,8.0,2de01e4c-6805-441f-8a1d-6df3bedf3d5c
0,122,1,1,3.19,4,270.8,96,96.9,11.02,11.8,c7078808-178d-4ab7-b678-0a8ae5d2e94f
0,133,1,0,0.0,3,143.8,71,41.0,9.2,12.9,d1636283-cab1-4c05-8d8d-1e2d5d06fb2c
0,91,1,1,1.51,1,175.3,96,68.1,13.12,5.6,c98167dc-f3d1-466d-9733-03419022357a
0,92,0,1,2.03,0,281.1,88,85.3,9.9,7.5,b6d7f1f9-e7e1-4802-87c7-befd53162121
0,114,1,0,0.0,2,169.2,96,42.0,7.5,4.6,812c0e3a-5d93-400d-abc3-4a08645b08ed
0,73,1,0,0.0,0,160.1,110,46.0,10.67,13.0,10903a17-0ac8-4b00-bcd9-599b7d3c6977
0,108,1,0,0.0,0,210.6,117,50.0,8.21,9.4,a0d859ec-58bd-44ff-b968-5d6b141904c3
0,94,1,0,0.0,3,118.7,90,38.0,10.26,10.4,1ab1a6d1-5e79-4e33-9492-a201f9f20b97
0,104,1,0,0.0,3,76.4,116,23.0,5.78,9.4,54d9bc23-7c10-484c-88f0-e9394a7d5e04
0,86,1,1,3.48,1,225.4,79,89.8,9.36,12.9,5898b253-d971-4b2b-bd71-f2d4eeb5a3bc
0,194,1,0,0.0,0,162.3,88,46.0,10.69,10.9,20102759-f439-427f-99e8-9895cc1467c9
0,101,1,0,0.31,3,136.2,92,45.1,11.05,13.3,62b17bc6-a028-47be-bfa1-eb846a1bf58a
0,113,1,0,0.27,1,72.5,88,32.7,10.2,6.6,ef9c961f-c0dc-4278-b58a-afbf1d77254a
0,55,1,1,2.97,3,165.6,123,69.7,6.81,11.0,e3a7777b-5a60-4929-ae36-6088c3435371
0,119,1,1,2.7,1,178.1,110,76.0,10.64,10.0,d3a0ab5e-0019-447b-acd1-02eca0fa2270
0,125,1,0,0.0,1,203.4,110,46.0,6.44,11.0,b3cf2c8a-6884-46f3-a306-7b075589a987
0,139,1,0,0.0,0,211.1,103,54.0,10.35,5.6,093aafa4-fa44-435b-84cc-ebf3a51f3390
0,98,1,1,3.46,3,179.9,97,81.6,9.46,12.8,1590916d-491b-46e7-acaf-61b341c97b80
1,125,0,0,0.0,0,187.3,118,46.0,8.04,9.6,eb183bf4-1d94-482f-bffa-4d55b4bf1936
0,138,0,0,0.0,1,169.3,82,48.0,10.9,9.4,3c216aa2-80ee-40ef-b0db-5827f1d5b999
1,75,1,0,0.0,0,305.1,106,68.0,9.4,8.5,1eed732e-4937-4af3-ae9b-8b370b634a0a
0,114,1,0,0.0,1,189.8,101,45.0,7.39,10.6,6dc28e0b-d5e3-4271-bdff-dcd01222a27a
0,64,1,0,0.0,0,261.9,113,58.0,7.41,13.8,b4699f40-c275-4009-8320-a081cb73d85d
0,112,1,0,0.0,1,174.5,127,52.0,12.97,11.3,2e6c482f-84d5-4dd3-b8c8-6d56d9dcfc1d
0,36,1,0,0.0,0,117.1,94,40.0,11.77,9.0,0c7466ac-41aa-455e-9078-b763ddcefdfe
1,68,0,0,0.0,1,148.5,126,44.0,10.97,14.5,3d1356a4-783d-4b81-9a66-7526bc3819d6
0,87,1,0,0.0,2,238.0,97,55.0,8.23,10.6,b9fefa4b-16ad-4a4b-a515-717633d4fd7c
0,166,0,1,3.08,1,175.8,126,82.8,12.68,11.4,45831c06-d4e9-4151-ba47-837a557d1796
0,149,1,1,3.86,1,198.9,77,96.6,13.7,14.3,dd0c4efe-1094-4908-8298-36f372d3e1b8
0,147,1,0,0.33,1,212.8,79,57.3,10.21,10.2,e21552f4-6b64-48ff-b54c-28a14e23a7bf
0,33,1,0,0.0,2,213.9,88,57.0,11.99,9.8,30de5e10-877f-4e70-9500-c55f2668ea13
0,141,1,0,0.0,3,260.2,131,60.0,8.96,7.2,68a07c19-0b6b-49c9-aa17-9f34d97b5699
1,116,0,1,3.16,3,162.3,91,83.6,13.97,11.7,ade374e6-16a1-4838-bc77-193f828f1d04
1,135,1,1,3.48,2,201.4,100,90.8,12.33,12.9,9867d1ce-58bf-4e28-ac95-7152b4b2be5a
0,60,1,0,0.0,2,98.2,88,33.0,9.03,9.3,e4dbaea4-5b63-4cc0-8c01-c6c0a4f985b5
0,86,1,1,2.57,0,119.0,101,65.7,11.5,9.5,83e46e18-73b6-4929-8a9f-114385b94086
0,149,1,1,3.05,2,264.4,102,94.5,10.98,11.3,eb20e943-efab-400d-9acf-a5cfbf1d0434
0,115,1,1,3.67,6,170.5,107,84.7,10.86,13.6,0c38214e-1a06-4dc5-9fe2-de9940fd605d
0,139,1,0,0.0,3,192.8,104,53.0,11.72,13.0,b5c037e2-bace-4807-a843-f901aa618aab
0,60,1,0,0.0,2,180.3,67,49.0,10.4,12.8,0b300c87-7a7a-4ae2-a382-74faf32dc2ca
0,70,1,0,0.3,3,147.1,105,46.0,10.0,12.5,e94c4209-052a-4510-b984-1b9f8707e222
1,74,1,0,0.21,1,282.5,114,69.1,11.0,9.4,22829e27-3f58-4d0d-ab45-50b8ce48dcaa
0,182,1,0,0.0,0,69.1,114,32.0,11.52,6.5,e8e548ae-b4dd-47fb-8d9c-d92a55b68bc0
0,105,1,0,0.0,2,119.3,82,37.0,9.26,10.9,dfc6cb13-9a8a-4466-a0fc-659e8fc74a14
0,67,1,1,2.48,0,161.7,114,70.8,10.38,9.2,a95a3374-435e-453e-ac4f-066d2905d2eb
1,84,1,0,0.0,2,289.1,100,70.0,11.69,12.7,66586bbd-64cc-4970-bdf7-7cf5de258115
0,68,1,0,0.34,3,231.1,57,56.4,7.67,9.6,46729c0d-bb05-457f-9f93-2e6e991e5102
1,75,1,0,0.0,2,314.6,102,68.0,8.49,5.7,08fe00f0-bc81-46b5-82b6-3eb1b6b16d63
0,35,1,0,0.0,2,179.2,59,55.0,14.17,5.8,8e5e5f49-bd63-4414-9750-c093f751a86d
0,150,1,1,2.38,2,139.6,72,76.8,16.64,8.8,0219c19f-00b5-41df-ba64-f241be0df9e9
0,88,1,0,0.0,1,192.0,91,44.0,6.38,7.5,992440c6-e7ed-4097-bc38-d52b82853d41
0,114,1,1,3.4,3,154.6,100,81.0,12.08,12.6,d33c4002-e84a-4316-8cf2-2cefe3b80097
0,126,0,0,0.0,2,197.6,126,55.0,12.33,12.5,4f9dbf72-6490-4a88-8395-d9086f210a8b
0,135,1,0,0.0,1,173.4,107,49.0,11.1,13.7,b67cad71-1fa9-46c8-b91e-3b31f8dc44f9
0,134,1,1,2.92,1,142.9,105,61.2,4.43,10.8,486726ad-6038-4e35-82a6-3c5c22d4bddc
1,137,0,0,0.0,2,135.1,95,35.0,6.71,12.3,3427e352-1aa7-4f0f-bbf9-fd7900644fda
0,141,1,0,0.0,1,126.9,98,37.0,9.0,8.0,e6ac5676-1641-46ca-9720-ff2357b118ee
0,70,1,0,0.0,1,213.4,86,54.0,10.24,5.7,0f747e2d-d582-47a7-97f7-29a3ee70abaa
0,137,1,0,0.29,2,141.1,91,39.9,7.36,8.0,582af064-6052-49f1-985a-4864167ea7a1
0,73,1,0,0.0,0,94.1,136,40.0,14.02,9.8,02e8be3f-c045-4bae-8f1d-d8cce2434b94
0,95,1,0,0.0,2,203.4,96,49.0,8.43,13.7,d7e17dab-dcd8-4913-a9fa-6fdb44a77083
0,217,1,0,0.0,4,176.4,115,44.0,7.94,9.3,09b67994-9d6a-48db-ac55-be1772ab5e57
0,43,1,0,0.35,0,179.3,97,55.5,12.64,8.0,d033fbeb-4d2d-4168-bd1c-0f7fdbaff889
