Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,159,1,0,0.0,1,87.7,103,39.0,13.91,10.5
0,98,1,1,3.24,1,121.0,105,72.4,10.95,12.0
0,127,1,0,0.0,1,182.3,124,46.0,8.5,9.3
0,62,1,0,0.0,0,147.1,91,42.0,9.52,12.2
0,78,1,0,0.0,2,190.3,88,49.0,9.73,11.7
0,174,1,0,0.0,3,124.3,76,45.0,13.86,15.5
0,120,1,0,0.0,3,203.3,108,57.0,13.0,7.8
0,93,1,0,0.24,1,239.8,70,65.4,12.59,10.9
0,106,1,0,0.0,1,235.2,121,59.0,11.03,11.8
1,120,0,0,0.0,2,202.0,123,51.0,9.22,7.4
0,160,1,0,0.31,0,174.3,105,48.1,8.57,8.3
0,109,1,0,0.37,3,153.1,102,49.7,11.71,9.9
0,85,1,0,0.0,4,183.4,111,46.0,8.44,9.9
0,112,1,0,0.0,1,81.6,94,37.0,13.41,8.6
0,148,1,0,0.0,1,208.4,120,51.0,8.72,11.2
0,124,1,0,0.0,1,169.3,108,44.0,8.93,12.2
0,150,1,1,2.97,1,174.4,75,74.7,8.5,11.0
0,105,1,0,0.38,1,213.4,100,57.8,10.25,9.5
0,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1
0,59,1,0,0.0,2,107.8,113,37.0,10.83,9.9
0,72,1,0,0.28,0,196.5,88,49.8,7.93,6.8
1,17,0,0,0.36,0,162.8,118,51.6,11.48,13.6
0,116,1,0,0.23,2,217.3,91,58.3,10.81,11.3
0,45,1,0,0.0,1,211.3,87,50.0,8.29,13.3
0,123,1,1,4.16,1,270.4,99,108.6,12.26,15.4
0,124,1,0,0.0,0,194.0,103,54.0,12.05,11.9
0,82,1,1,1.11,1,146.5,73,57.1,12.32,4.1
0,132,1,0,0.0,1,121.5,88,43.0,12.65,10.7
0,63,0,0,0.0,1,62.9,112,28.0,10.15,8.9
0,155,1,0,0.0,0,71.2,90,38.0,15.22,8.6
0,225,1,0,0.0,1,182.7,142,53.0,12.33,8.8
0,123,1,0,0.0,2,175.7,78,46.0,9.23,9.1
0,185,1,0,0.0,2,55.6,97,34.0,14.44,12.1
0,85,1,0,0.0,1,210.3,66,53.0,9.79,11.2
0,157,1,0,0.39,3,168.6,71,50.9,10.26,5.9
0,95,1,0,0.0,2,157.3,116,44.0,9.88,8.4
0,79,0,0,0.31,2,103.5,134,48.1,15.97,8.4
0,87,1,1,2.57,3,82.6,113,59.7,11.22,9.5
0,125,1,1,2.46,2,236.1,107,89.6,14.46,9.1
0,144,1,1,2.73,1,106.4,109,55.3,5.41,10.1
0,122,1,0,0.23,2,140.1,120,46.3,11.57,11.2
0,61,1,0,0.2,1,234.2,76,61.0,10.84,13.9
0,101,0,0,0.0,1,156.4,116,38.0,6.52,7.3
0,76,1,0,0.35,0,179.2,85,53.5,11.15,12.4
0,57,1,0,0.31,1,154.2,78,46.1,9.84,10.1
0,61,0,1,3.05,0,143.5,76,76.5,12.13,11.3
0,80,1,0,0.0,1,124.3,100,36.0,8.65,7.9
0,144,1,0,0.0,0,133.3,101,45.0,12.78,11.6
1,71,0,0,0.0,3,178.2,113,45.0,8.39,13.6
0,126,0,1,2.59,1,129.3,123,62.9,8.83,9.6
0,163,1,1,3.35,2,215.1,91,82.5,6.95,12.4
0,98,1,1,1.78,2,111.1,105,55.8,10.9,6.6
0,31,1,1,2.86,1,171.8,116,78.6,12.04,10.6
0,78,1,0,0.23,2,193.4,99,45.3,5.85,9.3
0,101,1,0,0.0,1,174.9,105,52.0,13.1,8.5
0,125,1,1,2.54,1,96.5,109,54.4,7.29,9.4
0,117,1,0,0.39,1,119.0,82,40.9,9.38,11.5
0,46,1,0,0.0,1,156.4,105,43.0,9.28,11.8
0,96,0,0,0.0,2,200.6,117,59.0,14.48,11.2
0,56,1,0,0.0,1,137.2,111,38.0,8.3,14.3
0,96,1,0,0.0,3,197.7,68,55.0,12.53,10.5
1,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4
0,88,1,0,0.0,1,113.7,67,34.0,8.26,10.8
0,154,1,1,2.59,0,224.0,102,80.9,9.6,9.6
0,132,0,1,3.48,2,200.3,75,88.8,11.33,12.9
0,36,1,0,0.34,0,157.6,117,46.4,9.22,11.9
0,90,1,1,3.0,2,185.6,106,81.0,10.99,11.1
1,23,1,0,0.0,2,321.6,107,77.0,12.58,11.3
0,176,1,0,0.25,2,47.4,125,25.5,8.39,10.5
0,63,1,0,0.0,1,128.7,78,43.0,12.04,12.8
0,113,1,0,0.0,2,156.0,141,49.0,12.84,11.9
0,107,1,1,2.24,0,204.2,57,75.4,10.3,8.3
0,102,1,0,0.0,2,123.1,106,37.0,9.1,12.6
0,11,1,1,2.7,2,131.5,98,69.0,11.51,10.0
0,155,1,1,3.62,2,243.9,112,89.2,6.65,13.4
1,144,1,0,0.0,1,278.5,95,68.0,12.04,11.6
0,36,1,1,2.43,2,281.4,102,90.3,10.11,9.0
0,101,1,1,2.57,0,209.2,82,75.7,7.99,9.5
0,54,1,0,0.0,1,210.5,102,54.0,10.23,8.5
0,34,1,0,0.0,0,151.0,102,37.0,6.57,9.9
0,57,1,0,0.0,0,158.1,117,37.0,5.76,11.8
0,120,1,1,3.13,0,299.5,83,96.3,8.17,11.6
0,204,1,0,0.0,6,174.3,85,52.0,12.71,5.9
1,89,1,0,0.0,1,213.0,63,52.0,8.83,9.1
0,210,1,0,0.28,2,104.6,121,33.8,7.48,6.5
0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6
1,161,1,0,0.0,4,154.7,84,42.0,8.89,5.9
0,158,1,0,0.0,1,195.9,103,41.0,4.46,10.3
0,90,1,0,0.0,2,179.2,77,49.0,10.54,9.2
0,1,1,1,2.27,0,183.1,95,73.7,11.63,8.4
0,12,1,0,0.0,2,204.6,98,53.0,10.63,9.8
0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0
0,140,1,0,0.0,1,160.5,114,48.0,12.03,11.3
0,113,1,0,0.0,1,207.2,113,57.0,12.8,9.9
0,84,1,1,3.46,1,153.9,102,73.6,7.04,12.8
0,122,1,1,3.13,1,163.0,107,86.3,15.64,11.6
0,116,1,0,0.23,3,173.5,93,48.3,9.71,16.2
0,105,1,0,0.0,2,102.8,74,42.0,14.09,13.2
0,99,1,0,0.0,1,124.6,90,34.0,7.32,10.5
1,108,1,0,0.27,2,291.6,99,71.7,11.06,14.0
0,117,1,0,0.0,0,239.9,84,56.0,8.74,9.8
0,48,1,0,0.0,0,128.2,71,26.0,2.41,8.9
0,161,1,0,0.0,1,173.4,100,48.0,10.69,11.5
1,149,0,1,2.38,5,126.9,97,59.8,8.35,8.8
0,127,1,0,0.0,2,220.2,108,54.0,9.42,11.7
0,141,1,1,3.32,0,116.9,127,77.2,13.83,12.3
0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3
1,146,1,0,0.0,7,149.3,83,42.0,9.36,7.9
1,144,1,1,1.76,2,189.8,96,60.6,6.17,6.5
0,59,1,0,0.19,0,159.5,96,43.9,8.36,10.2
1,180,1,0,0.0,3,224.9,105,60.0,12.5,6.7
0,117,1,0,0.0,3,102.3,100,29.0,6.76,15.7
0,107,1,1,3.02,1,281.1,83,90.2,7.19,11.2
1,123,0,0,0.0,4,125.5,106,33.0,6.45,6.3
0,66,1,0,0.0,1,207.7,85,53.0,9.84,6.8
1,168,1,0,0.0,2,163.4,134,49.0,12.01,11.6
0,58,1,0,0.0,2,238.9,107,57.0,9.36,11.8
0,19,1,0,0.31,1,201.5,123,49.1,6.46,12.9
0,80,1,0,0.0,1,197.6,83,48.0,8.23,6.4
0,101,0,0,0.38,0,193.7,108,52.8,9.33,11.6
0,151,1,1,3.62,0,196.5,98,85.2,8.79,13.4
0,101,0,0,0.17,1,133.5,51,43.7,10.98,11.7
0,117,1,1,2.62,1,207.6,65,75.2,7.64,9.7
0,163,1,0,0.0,1,197.0,109,51.0,10.13,9.1
0,102,1,0,0.0,4,174.5,73,48.0,10.69,10.3
0,62,1,0,0.0,1,98.9,103,29.0,6.77,12.2
0,101,1,0,0.0,1,183.9,115,54.0,12.8,10.8
0,45,1,1,2.08,1,91.7,104,49.8,7.53,7.7
0,116,1,0,0.0,1,189.5,90,49.0,9.49,13.1
0,149,0,0,0.18,0,176.2,87,44.8,7.25,5.7
0,12,0,0,0.0,2,216.7,117,47.0,5.83,9.8
1,88,1,0,0.39,4,301.5,136,77.9,12.89,13.4
0,110,1,0,0.0,3,196.1,103,51.0,9.99,12.9
0,138,1,0,0.27,1,133.9,87,39.7,8.32,15.4
0,99,0,0,0.0,4,197.2,127,47.0,7.8,9.9
0,83,1,1,3.54,3,155.9,122,76.4,8.12,13.1
0,147,1,0,0.26,2,124.4,74,51.6,16.05,10.4
0,197,1,0,0.0,0,233.9,96,59.0,10.95,9.5
0,134,1,1,4.48,0,80.3,94,75.8,10.0,16.6
0,56,1,1,3.27,1,127.1,89,69.7,8.61,12.1
0,27,1,0,0.0,1,82.6,105,32.0,10.2,9.1
0,100,1,0,0.3,0,216.2,107,59.0,10.78,10.2
0,133,1,0,0.0,0,201.7,85,49.0,8.47,6.0
1,89,1,0,0.0,5,129.2,71,41.0,10.71,10.3
0,75,1,1,3.35,1,130.9,115,73.5,10.17,12.4
0,134,1,0,0.0,2,164.9,115,39.0,6.33,10.0
0,59,1,1,2.46,0,127.4,110,55.6,5.17,9.1
0,91,1,0,0.0,0,149.0,115,47.0,12.27,8.3
0,123,1,0,0.0,0,128.7,126,32.0,5.88,10.8
0,167,1,0,0.0,0,207.6,88,47.0,6.62,14.1
0,131,1,0,0.0,2,196.1,89,50.0,9.28,5.2
0,139,1,1,2.24,2,231.0,85,81.4,11.12,8.3
1,23,1,0,0.0,1,113.1,74,34.0,8.44,6.9
0,42,0,0,0.0,2,180.7,127,46.0,8.73,12.0
1,68,1,0,0.21,1,213.9,112,61.1,13.03,8.4
0,60,0,0,0.0,1,183.0,110,49.0,10.34,11.1
0,72,1,0,0.42,3,118.2,106,39.2,8.36,12.2
1,113,1,1,2.35,5,157.8,83,64.5,8.08,8.7
0,93,1,0,0.0,1,98.4,78,38.0,12.48,14.2
0,104,1,0,0.34,3,109.1,141,38.4,9.36,10.0
0,93,1,1,2.54,2,218.7,117,72.4,5.75,9.4
0,143,1,0,0.0,2,194.3,99,44.0,6.18,10.2
0,127,1,1,1.97,0,203.8,118,77.7,13.36,7.3
0,98,1,0,0.0,1,169.9,77,41.0,6.92,8.5
0,74,1,0,0.0,3,262.3,114,62.0,9.95,6.6
0,140,1,0,0.28,3,129.6,79,45.8,12.31,9.4
0,108,1,0,0.0,0,169.6,99,52.0,13.21,9.3
0,59,1,0,0.0,1,155.2,79,47.0,11.77,8.7
0,96,1,1,3.05,1,183.1,88,74.5,7.37,11.3
0,99,1,0,0.0,0,182.6,83,45.0,7.73,12.1
0,73,1,0,0.31,0,240.3,130,58.1,8.13,11.9
0,36,1,0,0.0,1,175.1,144,49.0,10.85,9.9
0,68,1,1,1.65,1,160.0,72,59.5,9.23,6.1
0,4,0,0,0.0,0,145.3,89,51.0,15.19,8.9
0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8
0,70,1,0,0.3,1,170.2,98,46.0,7.76,15.0
1,154,0,0,0.36,0,145.9,69,46.6,10.41,14.4
0,161,1,0,0.0,2,72.8,120,36.0,13.36,11.8
0,100,1,0,0.0,0,203.8,122,59.0,14.16,12.5
0,121,1,0,0.32,2,207.9,98,57.2,10.53,7.7
0,136,1,1,3.08,2,143.1,88,75.8,11.83,11.4
1,197,0,0,0.12,5,127.3,80,42.2,11.12,13.7
0,131,1,0,0.46,0,153.4,86,47.6,9.93,10.4
0,60,1,0,0.35,3,125.1,99,46.5,12.44,11.2
0,124,1,0,0.0,2,150.3,101,48.0,12.8,12.5
0,95,1,0,0.0,1,183.4,98,56.0,14.07,8.2
0,148,1,0,0.0,0,124.4,83,37.0,8.99,11.3
0,149,1,0,0.0,2,196.3,108,45.0,6.84,7.7
0,189,1,0,0.0,3,208.3,106,56.0,11.84,11.3
0,121,1,1,2.73,4,237.1,63,85.3,10.28,10.1
0,113,1,0,0.0,1,186.0,55,52.0,11.87,12.2
0,98,1,0,0.39,2,136.1,82,40.9,7.82,10.1
1,84,1,0,0.0,3,225.9,86,62.0,13.78,14.3
0,99,1,0,0.33,1,145.6,106,37.3,4.92,10.9
0,104,1,0,0.33,4,167.6,116,51.3,10.96,11.7
1,49,1,0,0.0,2,266.3,90,63.0,10.39,14.0
1,116,1,0,0.0,6,159.4,79,43.0,8.98,9.7
0,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9
0,161,1,0,0.0,1,196.6,73,48.0,8.51,12.5
0,139,1,0,0.35,0,139.0,110,38.5,6.65,12.1
0,113,1,0,0.0,1,90.6,130,30.0,8.53,5.4
0,109,1,0,0.0,2,170.7,101,50.0,12.01,11.4
1,99,1,0,0.0,7,115.5,75,39.0,10.91,11.5
0,97,1,0,0.0,1,146.0,121,43.0,10.15,13.3
0,77,1,0,0.0,2,233.8,104,63.0,13.33,7.6
0,87,1,0,0.0,1,110.9,91,33.0,7.93,6.2
0,86,1,1,3.0,3,70.9,163,57.0,8.34,11.1
0,57,1,0,0.0,0,85.9,92,32.0,9.7,10.1
0,86,1,1,3.05,0,145.7,88,72.5,9.55,11.3
0,117,1,0,0.42,1,161.6,104,49.2,9.82,13.8
0,107,1,0,0.0,2,90.7,90,34.0,10.38,5.6
0,148,1,1,2.94,1,77.6,141,60.4,10.35,10.9
0,107,1,1,3.89,2,283.4,104,106.9,11.21,14.4
1,128,0,1,3.67,0,222.1,89,88.7,8.03,13.6
0,88,1,1,2.94,1,93.4,106,67.4,12.6,10.9
0,205,1,0,0.32,2,49.9,123,25.2,7.54,10.1
0,82,1,0,0.38,2,265.2,122,64.8,8.94,10.7
0,166,1,0,0.29,1,204.2,115,52.9,9.0,9.5
0,79,1,1,4.0,2,103.7,100,78.0,11.82,14.8
1,98,1,1,2.16,6,168.0,81,64.6,8.16,8.0
0,88,1,1,2.65,2,190.6,104,79.5,11.87,9.8
0,148,1,0,0.39,1,202.0,102,59.9,12.16,10.9
0,88,1,0,0.27,1,181.9,90,46.7,7.58,7.5
0,112,1,0,0.0,1,261.4,108,58.0,7.73,11.6
0,70,1,0,0.0,3,232.1,122,65.0,14.62,0.0
0,69,1,0,0.0,1,153.7,109,43.0,9.7,14.1
0,56,1,1,3.43,1,121.7,87,71.3,9.2,12.7
0,24,1,0,0.0,1,156.2,104,35.0,4.5,7.3
0,106,1,0,0.0,3,212.9,110,53.0,9.35,6.3
0,91,1,0,0.0,0,190.5,128,50.0,10.28,13.8
0,121,1,0,0.0,0,103.3,110,29.0,6.46,10.7
0,92,1,0,0.0,1,265.6,82,61.0,9.04,8.6
0,78,1,0,0.0,0,163.6,88,52.0,14.17,8.6
0,76,1,0,0.0,0,173.2,93,41.0,6.56,5.4
0,119,1,1,1.78,1,161.3,97,66.8,12.52,6.6
1,97,1,0,0.4,0,276.1,82,69.0,10.06,8.9
0,120,1,0,0.0,3,180.0,80,50.0,11.21,4.7
0,76,1,0,0.0,1,171.1,78,51.0,12.86,16.2
0,87,1,0,0.0,1,156.8,93,45.0,10.79,7.6
0,103,1,0,0.0,1,160.8,91,41.0,7.79,8.5
1,76,1,0,0.0,1,263.4,148,65.0,11.52,11.4
0,46,1,1,1.94,1,191.4,102,83.4,18.09,7.2
0,22,1,0,0.0,1,160.4,108,46.0,10.91,12.5
0,102,0,0,0.0,0,233.8,103,59.0,11.08,12.8
0,102,1,0,0.0,2,186.8,92,47.0,8.69,9.7
0,83,1,1,2.92,1,226.4,117,88.2,11.74,10.8
0,94,1,0,0.0,3,108.0,79,39.0,12.1,10.4
0,117,1,0,0.0,1,102.8,119,36.0,10.34,10.1
0,85,1,0,0.0,2,211.5,100,52.0,9.23,13.3
0,40,0,0,0.0,3,170.7,55,45.0,8.96,8.2
0,79,1,1,1.13,2,50.6,62,37.3,10.07,4.2
0,75,1,0,0.26,1,209.4,133,56.6,10.58,7.2
1,55,0,0,0.32,1,191.9,91,58.2,12.81,14.3
0,131,1,1,2.46,0,69.1,122,45.6,5.07,9.1
1,161,1,0,0.16,4,191.9,113,40.6,3.55,13.4
0,115,1,0,0.0,1,206.2,113,51.0,8.82,11.0
0,92,1,0,0.33,2,197.2,113,58.3,12.12,11.0
0,148,0,0,0.0,0,218.9,88,55.0,10.4,11.1
0,93,1,1,2.89,1,237.2,85,87.9,10.66,10.7
0,68,1,0,0.0,1,158.8,119,45.0,10.59,10.3
0,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1
0,143,1,1,2.08,1,141.4,130,60.8,9.32,7.7
0,70,1,1,2.54,3,143.4,72,64.4,8.5,9.4
0,59,0,1,2.46,1,225.0,78,79.6,9.57,9.1
0,61,1,0,0.0,2,188.9,105,46.0,7.68,10.2
1,87,1,0,0.0,2,322.5,106,73.0,10.23,9.4
0,105,1,0,0.0,1,206.2,84,57.0,12.82,9.0
0,113,1,0,0.0,2,187.6,97,50.0,10.41,8.7
0,137,1,0,0.13,3,115.0,130,33.3,6.89,7.3
0,91,1,1,1.67,1,146.1,98,65.7,13.87,6.2
0,85,1,0,0.0,3,255.3,114,60.0,9.73,3.7
0,107,1,0,0.0,1,230.4,65,62.0,12.87,8.5
0,86,1,1,3.13,4,144.8,105,74.3,10.31,11.6
0,115,1,0,0.0,1,127.7,67,38.0,9.15,10.6
0,77,1,0,0.0,1,221.8,84,52.0,8.3,13.2
1,92,0,0,0.0,1,62.6,111,26.0,9.03,10.4
0,84,1,1,3.05,0,214.3,112,83.5,9.41,11.3
1,82,1,0,0.0,0,329.8,73,74.0,10.42,10.6
0,100,1,0,0.0,1,218.8,125,50.0,7.42,9.7
1,119,1,0,0.0,1,260.1,101,67.0,12.83,10.0
0,97,1,1,1.32,3,141.0,101,55.2,10.6,4.9
1,85,1,0,0.0,2,236.9,93,58.0,9.89,11.4
0,73,1,0,0.0,0,254.7,80,51.0,4.51,10.6
0,86,1,0,0.0,0,217.8,93,56.0,10.74,11.3
0,162,1,1,3.32,0,184.5,139,80.2,9.16,12.3
0,182,1,1,3.13,1,128.1,104,65.3,7.17,11.6
0,77,1,1,2.62,2,211.1,89,81.2,11.18,9.7
0,98,1,0,0.0,4,161.0,117,44.0,9.55,12.1
0,20,1,0,0.0,2,186.8,89,54.0,12.67,12.3
0,128,1,0,0.28,0,195.6,99,59.8,13.39,16.0
0,38,1,0,0.0,2,137.8,86,48.0,14.32,14.1
0,114,1,0,0.12,1,203.8,85,44.2,4.39,11.7
0,120,1,0,0.26,1,192.6,123,53.6,10.32,10.8
0,55,1,1,2.32,2,105.3,82,58.2,9.87,8.6
0,113,1,0,0.0,1,215.6,96,54.0,9.67,13.5
0,132,1,0,0.0,0,222.4,85,52.0,8.27,11.2
1,127,1,0,0.0,0,245.2,91,61.0,10.86,13.9
0,78,1,0,0.0,0,149.7,119,41.0,9.11,9.7
0,21,1,0,0.0,1,223.2,142,57.0,10.83,12.4
0,106,1,0,0.0,0,128.6,83,34.0,6.7,11.4
0,45,1,1,3.21,0,196.6,84,93.1,15.66,11.9
0,109,1,0,0.0,2,137.0,128,42.0,10.85,10.0
0,61,1,0,0.0,2,197.7,118,47.0,7.61,7.0
0,151,1,0,0.0,0,178.7,116,56.0,14.61,9.8
0,87,1,0,0.0,1,168.2,92,48.0,11.24,12.9
0,98,1,0,0.3,3,126.3,102,39.0,8.34,9.4
0,209,1,0,0.0,3,227.2,128,61.0,12.92,8.9
0,66,1,0,0.0,2,170.5,103,51.0,12.72,10.5
0,63,1,1,2.21,0,214.9,86,76.1,9.91,8.2
0,129,1,0,0.0,4,186.0,127,54.0,13.12,11.5
0,83,1,0,0.0,0,117.9,101,34.0,8.02,11.4
1,111,1,0,0.0,0,249.8,109,64.0,12.12,11.6
0,101,1,0,0.0,1,154.4,130,45.0,10.86,13.9
0,118,0,0,0.0,2,160.0,123,43.0,8.77,9.9
0,114,1,1,3.11,2,137.1,88,68.1,7.79,11.5
1,79,1,0,0.31,1,268.3,114,65.1,9.28,6.3
0,141,1,0,0.26,3,51.9,108,25.6,8.1,10.1
0,87,1,1,2.75,2,125.0,99,69.5,11.77,10.2
1,62,1,1,3.0,2,186.4,84,79.0,10.05,11.1
0,37,1,0,0.0,2,199.5,107,52.0,10.38,8.1
0,105,0,0,0.31,3,150.0,106,54.1,14.69,10.3
0,25,1,0,0.33,2,242.6,69,63.3,10.45,14.4
0,106,1,0,0.0,0,159.6,94,51.0,13.84,8.8
1,174,1,1,3.92,4,167.8,91,85.2,10.27,14.5
0,73,1,1,2.38,2,198.2,107,69.8,6.96,8.8
1,141,1,1,1.81,1,322.4,92,97.1,14.16,6.7
1,134,1,0,0.0,0,296.0,93,70.0,11.32,12.3
0,92,1,1,3.43,2,184.0,99,72.3,3.82,12.7
0,44,0,0,0.0,1,62.3,92,34.0,13.75,10.8
0,130,1,0,0.0,0,183.0,112,38.0,3.65,9.5
0,123,1,0,0.0,3,166.9,98,48.0,11.09,12.8
1,88,0,0,0.0,4,235.1,98,62.0,12.59,7.2
0,86,1,0,0.0,2,126.3,115,36.0,8.44,9.8
0,128,1,0,0.0,1,148.5,105,46.0,12.15,6.8
0,190,1,1,2.67,1,116.7,71,59.7,7.3,9.9
0,90,1,0,0.0,2,205.7,138,49.0,8.1,12.5
0,52,1,0,0.0,4,209.8,114,51.0,8.57,9.9
0,106,1,1,2.21,3,88.5,100,65.1,16.24,8.2
1,71,1,0,0.0,3,290.4,108,71.0,12.7,10.1
0,51,1,1,2.24,0,276.7,121,87.4,10.19,8.3
1,76,1,0,0.0,4,107.3,140,39.0,11.91,10.0
1,72,1,0,0.0,4,287.4,116,69.0,11.77,5.0
0,124,1,0,0.0,2,254.3,113,50.0,3.95,11.8
0,75,1,0,0.0,1,203.3,70,55.0,11.45,14.3
1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8
0,130,1,0,0.28,0,213.1,105,56.8,10.31,8.9
0,117,0,0,0.0,1,198.4,121,55.0,12.48,10.5
0,163,1,0,0.0,1,223.0,120,58.0,11.35,8.8
0,94,1,0,0.0,0,85.9,113,34.0,11.34,15.6
1,74,1,0,0.0,3,314.1,86,73.0,11.12,12.3
0,21,1,0,0.0,2,91.9,109,33.0,9.92,13.0
0,122,1,0,0.0,0,145.6,102,49.0,14.24,12.2
0,86,1,1,2.43,1,221.6,74,87.3,14.42,9.0
0,138,1,0,0.43,2,170.5,87,44.3,5.91,11.2
0,104,1,1,3.62,2,182.1,66,86.2,10.68,13.4
0,108,1,1,2.65,2,276.6,99,92.5,11.01,9.8
1,132,1,0,0.0,1,291.2,104,70.0,11.71,8.9
0,65,1,0,0.28,2,192.0,89,47.8,6.98,5.5
0,148,1,1,4.1,2,244.9,150,93.0,5.9,15.2
0,127,1,1,2.75,1,166.0,114,71.5,8.73,10.2
0,115,1,1,3.11,1,222.6,81,86.1,9.52,11.5
0,45,1,0,0.0,2,112.8,108,38.0,10.94,9.0
1,115,1,0,0.0,7,139.3,89,41.0,9.62,9.3
0,200,1,0,0.0,1,128.2,87,34.0,6.66,11.2
0,89,1,0,0.0,3,111.2,101,30.0,6.11,12.6
0,70,1,0,0.0,1,152.8,145,42.0,9.18,10.5
0,135,1,0,0.0,4,218.8,123,58.0,12.14,10.3
0,46,1,0,0.0,2,40.4,105,22.0,8.62,9.0
0,123,1,1,4.05,0,218.7,79,92.5,8.17,15.0
0,78,1,0,0.0,2,152.9,81,48.0,12.83,5.3
1,69,0,1,2.21,1,271.5,98,90.1,12.67,8.2
0,71,1,0,0.0,0,243.7,124,47.0,3.0,11.3
